Year,Code,Name,Electric cars sold,Non-electric car sales
2012,AUS,Australia,250,861819
2013,AUS,Australia,290,878498
2014,AUS,Australia,1320,878680
2015,AUS,Australia,1760,924556
2016,AUS,Australia,1370,911963
2017,AUS,Australia,2300,917700
2018,AUS,Australia,3600,874449
2019,AUS,Australia,9200,757467
2020,AUS,Australia,6900,620373
2021,AUS,Australia,20400,708171
2022,AUS,Australia,38900,739100
2023,AUS,Australia,98000,718667
2024,AUS,Australia,112000,749538
2015,AUT,Austria,2800,308311
2016,AUT,Austria,5000,328333
2017,AUT,Austria,7100,347900
2018,AUT,Austria,9100,340900
2019,AUT,Austria,11500,317071
2020,AUT,Austria,23600,224821
2021,AUT,Austria,48000,192000
2022,AUT,Austria,47000,166636
2023,AUT,Austria,65000,175741
2024,AUT,Austria,62000,196333
2010,BEL,Belgium,56,559944
2011,BEL,Belgium,296,568935
2012,BEL,Belgium,910,478037
2013,BEL,Belgium,560,508531
2014,BEL,Belgium,1950,473660
2015,BEL,Belgium,3900,509258
2016,BEL,Belgium,9200,531976
2017,BEL,Belgium,14700,550685
2018,BEL,Belgium,13200,536800
2019,BEL,Belgium,17700,535425
2020,BEL,Belgium,47000,380273
2021,BEL,Belgium,71000,323444
2022,BEL,Belgium,97000,276077
2023,BEL,Belgium,193000,277732
2024,BEL,Belgium,197000,261140
2012,BRA,Brazil,40,3076883
2013,BRA,Brazil,72,2999928
2015,BRA,Brazil,89,2118959
2016,BRA,Brazil,177,1608914
2017,BRA,Brazil,430,1869135
2018,BRA,Brazil,410,2049590
2019,BRA,Brazil,1940,2307584
2020,BRA,Brazil,2600,1622400
2021,BRA,Brazil,13900,1496970
2022,BRA,Brazil,18500,1523167
2023,BRA,Brazil,52000,1681333
2024,BRA,Brazil,125000,1828125
2011,CAN,Canada,520,1267773
2012,CAN,Canada,1920,1369509
2013,CAN,Canada,3100,1405991
2014,CAN,Canada,5100,1452043
2015,CAN,Canada,6800,1504311
2016,CAN,Canada,11600,1514716
2017,CAN,Canada,16700,1653300
2018,CAN,Canada,44000,1527429
2019,CAN,Canada,51000,1449000
2020,CAN,Canada,51000,1163286
2021,CAN,Canada,87000,1272375
2022,CAN,Canada,115000,1095526
2023,CAN,Canada,171000,1144385
2024,CAN,Canada,252000,1230353
2014,CHL,Chile,19,240487
2015,CHL,Chile,36,189438
2016,CHL,Chile,31,206636
2017,CHL,Chile,135,210803
2018,CHL,Chile,198,247302
2019,CHL,Chile,305,217552
2020,CHL,Chile,239,119261
2021,CHL,Chile,860,295692
2022,CHL,Chile,1770,293230
2023,CHL,Chile,2110,279223
2024,CHL,Chile,5600,261067
2010,CHN,China,1440,14398560
2011,CHN,China,5120,15053704
2012,CHN,China,9860,13496989
2013,CHN,China,15730,16542165
2014,CHN,China,73000,18177000
2015,CHN,China,211000,20889000
2016,CHN,China,339000,22261000
2017,CHN,China,580000,23586667
2018,CHN,China,1090000,22101489
2019,CHN,China,1060000,20140000
2020,CHN,China,1140000,18860000
2021,CHN,China,3250000,18416667
2022,CHN,China,5900000,14444828
2023,CHN,China,8100000,13215790
2024,CHN,China,11300000,12241667
2011,DNK,Denmark,422,168378
2012,DNK,Denmark,502,172601
2013,DNK,Denmark,510,181633
2014,DNK,Denmark,1690,184024
2015,DNK,Denmark,4720,200497
2016,DNK,Denmark,1870,220749
2017,DNK,Denmark,1330,220337
2018,DNK,Denmark,4600,214448
2019,DNK,Denmark,9400,214410
2020,DNK,Denmark,32000,168000
2021,DNK,Denmark,65000,120714
2022,DNK,Denmark,57000,93000
2023,DNK,Denmark,80000,93913
2024,DNK,Denmark,96100,75507
2012,FIN,Finland,181,106290
2013,FIN,Finland,220,104542
2014,FIN,Finland,440,106877
2015,FIN,Finland,660,109340
2016,FIN,Finland,1420,116913
2017,FIN,Finland,3100,120900
2018,FIN,Finland,5680,117798
2019,FIN,Finland,7900,110010
2020,FIN,Finland,17200,78356
2021,FIN,Finland,30000,70000
2022,FIN,Finland,31000,52784
2023,FIN,Finland,48000,40889
2024,FIN,Finland,37000,37000
2010,FRA,France,272,2266395
2011,FRA,France,2656,2210677
2012,FRA,France,6360,1920913
2013,FRA,France,9750,1829873
2014,FRA,France,13100,1885451
2015,FRA,France,23800,1959533
2016,FRA,France,30600,2155114
2017,FRA,France,38000,2197294
2018,FRA,France,48000,2352000
2019,FRA,France,64000,2306370
2020,FRA,France,185000,1496818
2021,FRA,France,310000,1513529
2022,FRA,France,340000,1360000
2023,FRA,France,470000,1410000
2024,FRA,France,450000,1425000
2011,DEU,Germany,1640,3152206
2012,DEU,Germany,3400,3087509
2013,DEU,Germany,6800,2949722
2014,DEU,Germany,13500,2986500
2015,DEU,Germany,23000,3127685
2016,DEU,Germany,24000,3219243
2017,DEU,Germany,54000,3321000
2018,DEU,Germany,67000,3283000
2019,DEU,Germany,108000,3492000
2020,DEU,Germany,390000,2395714
2021,DEU,Germany,690000,1963846
2022,DEU,Germany,830000,1847419
2023,DEU,Germany,700000,2216667
2024,DEU,Germany,570000,2430000
2015,GRC,Greece,57,75943
2016,GRC,Greece,97,80736
2017,GRC,Greece,190,86174
2018,GRC,Greece,298,102461
2019,GRC,Greece,480,113806
2020,GRC,Greece,2180,78561
2021,GRC,Greece,7000,94449
2022,GRC,Greece,8300,96763
2023,GRC,Greece,17000,113769
2024,GRC,Greece,17000,124667
2012,ISL,Iceland,26,7853
2013,ISL,Iceland,103,7254
2014,ISL,Iceland,229,9313
2015,ISL,Iceland,560,13799
2016,ISL,Iceland,1160,17253
2017,ISL,Iceland,3040,18674
2018,ISL,Iceland,3680,14720
2019,ISL,Iceland,3100,8823
2020,ISL,Iceland,4900,4523
2021,ISL,Iceland,9100,3900
2022,ISL,Iceland,12000,5391
2023,ISL,Iceland,12400,5065
2024,ISL,Iceland,4300,5938
2019,IND,India,687,2861813
2020,IND,India,3143,2616024
2021,IND,India,12050,2926974
2022,IND,India,48023,3382191
2023,IND,India,82270,3835349
2024,IND,India,92095,4293381
2012,ISR,Israel,601,221992
2013,ISR,Israel,477,226666
2014,ISR,Israel,58,263578
2015,ISR,Israel,68,283265
2016,ISR,Israel,68,309023
2017,ISR,Israel,1630,311832
2018,ISR,Israel,3730,307103
2019,ISR,Israel,4750,292125
2020,ISR,Israel,6900,258485
2021,ISR,Israel,24000,323826
2022,ISR,Israel,43000,315333
2023,ISR,Israel,65000,317353
2024,ISR,Israel,76400,287410
2013,ITA,Italy,1040,1298960
2014,ITA,Italy,1340,1338660
2015,ITA,Italy,2240,1597760
2016,ITA,Italy,2700,1797300
2017,ITA,Italy,4900,1955100
2018,ITA,Italy,9700,1930300
2019,ITA,Italy,17500,1971136
2020,ITA,Italy,60000,1368571
2021,ITA,Italy,138000,1378484
2022,ITA,Italy,114000,1227176
2023,ITA,Italy,136000,1342261
2024,ITA,Italy,118000,1375671
2011,JPN,Japan,13015,4185372
2012,JPN,Japan,24000,4504302
2013,JPN,Japan,29000,4574175
2014,JPN,Japan,32000,4605681
2015,JPN,Japan,24000,4113931
2016,JPN,Japan,24400,4042267
2017,JPN,Japan,54000,4446000
2018,JPN,Japan,50000,4495455
2019,JPN,Japan,39000,4294333
2020,JPN,Japan,30000,3866104
2021,JPN,Japan,45000,3705000
2022,JPN,Japan,97000,3367286
2023,JPN,Japan,140000,3860000
2024,JPN,Japan,103000,3575571
2015,MEX,Mexico,99,1151064
2016,MEX,Mexico,770,1374230
2017,MEX,Mexico,1200,1317481
2018,MEX,Mexico,1800,1198200
2019,MEX,Mexico,1690,1124977
2020,MEX,Mexico,3800,771710
2021,MEX,Mexico,6500,826833
2022,MEX,Mexico,8400,866600
